archivo,numero,mes,anio,formato,paginas,ancho,alto,chars_p1,imgs_p1,dibujos_p1,fuente_p1,escaneado
Reporte-Mensual-de-Conflictos-Sociales-N-127-Septiembre-2014.pdf,127,9,2014,adjuntia_portada_estadistica,113,595,842,898,0,14,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-128-Octubre-2014.pdf,128,10,2014,adjuntia_portada_estadistica,116,595,842,930,0,14,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-129-Noviembre-2014.pdf,129,11,2014,adjuntia_portada_estadistica,111,595,842,930,0,14,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-130-Diciembre-2014.pdf,130,12,2014,adjuntia_portada_estadistica,111,595,842,931,0,14,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-131-Enero-2015.pdf,131,1,2015,adjuntia_portada_estadistica,120,595,842,927,0,14,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-132-Febrero-2015.pdf,132,2,2015,adjuntia_portada_estadistica,115,595,842,997,0,14,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-133-Marzo-2015.pdf,133,3,2015,adjuntia_portada_estadistica,119,595,842,999,5,13,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-134-Abril-2015.pdf,134,4,2015,adjuntia_portada_estadistica,120,595,842,994,5,13,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-135-Mayo-2015.pdf,135,5,2015,adjuntia_portada_estadistica,122,595,842,1004,5,14,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-136-Junio-2015.pdf,136,6,2015,adjuntia_portada_estadistica,124,595,842,936,5,14,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-137-Julio-2015.pdf,137,7,2015,adjuntia_portada_estadistica,122,595,842,939,5,14,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-138-Agosto-2015.pdf,138,8,2015,adjuntia_portada_estadistica,127,595,842,929,5,13,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-139-Septiembre-2015.pdf,139,9,2015,adjuntia_portada_estadistica,123,595,842,935,5,13,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-140-Octubre-2015.pdf,140,10,2015,adjuntia_portada_estadistica,125,595,842,922,5,13,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-141-Noviembre-2015.pdf,141,11,2015,adjuntia_portada_estadistica,133,595,842,935,5,13,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-142-Diciembre-2015.pdf,142,12,2015,adjuntia_portada_estadistica,121,595,842,925,5,13,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-143-Enero-2016.pdf,143,1,2016,adjuntia_portada_estadistica,124,595,842,921,5,13,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-144-Febrero-2016.pdf,144,2,2016,adjuntia_portada_estadistica,121,595,842,932,5,11,"Arial,Bold",0
Reporte-Mensual-de-Conflictos-Sociales-N-145-Marzo-2016.pdf,145,3,2016,adjuntia_portada_estadistica,129,595,842,827,5,13,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-146-Abril-2016.pdf,146,4,2016,adjuntia_portada_estadistica,126,595,842,853,5,14,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-147-Mayo-2016.pdf,147,5,2016,adjuntia_portada_estadistica,133,595,842,828,5,14,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-148-Junio-2016.pdf,148,6,2016,adjuntia_portada_estadistica,127,595,842,834,5,13,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-149-Julio-2016.pdf,149,7,2016,adjuntia_portada_estadistica,129,595,842,837,5,13,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-150-Agosto-2016.pdf,150,8,2016,adjuntia_portada_estadistica,124,595,842,826,5,13,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-151-Septiembre-2016.pdf,151,9,2016,adjuntia_portada_estadistica,126,595,842,827,5,13,Franklin Gothic Book,0
